"id","borough","location","name","open_year_round","created_at","updated_at","latitude","longitude"
1102,"Bronx","St. Anns Avenue & East 147 Street","St. Mary's Park West","Yes","2018-07-03 15:40:54.388069","2018-07-03 15:40:54.388069",40.812969,-73.9137286
1104,"Manhattan","West 133 Street & St. Nicholas Avenue","St. Nicholas Park","Yes","2018-07-03 15:40:55.103563","2018-07-03 15:40:55.103563",40.8157083,-73.9486715
1105,"Manhattan","West 129 Street & St. Nicholas Terrace","St. Nicholas Park","Yes","2018-07-03 15:40:56.206939","2018-07-03 15:40:56.206939",40.81354899999999,-73.95132199999999
1112,"Brooklyn","Montrose Avenue, Boerum, Lorimer, Leonard streets","Sternberg Park","Yes","2018-07-03 15:40:58.103794","2018-07-03 15:40:58.103794",40.7054394,-73.9479803
1113,"Brooklyn","Marcy & Park avenues","Stockton Playground","Yes","2018-07-03 15:40:58.894502","2018-07-03 15:40:58.894502",40.6976649,-73.9517565
1114,"Brooklyn","Classon Avenue & Sterling Place","Stroud Playground","Yes","2018-07-03 15:40:59.707682","2018-07-03 15:40:59.707682",40.6740047,-73.9603783
1118,"Bronx","Guerlain Street, Thieriot Avenue, Taylor Avenue","Taylor Playground","Yes","2018-07-03 15:41:01.115209","2018-07-03 15:41:01.115209",40.839489,-73.865798
1119,"Manhattan","West 77 Street & Amsterdam Avenue","Tecumseh Playground","Yes","2018-07-03 15:41:01.724275","2018-07-03 15:41:01.724275",40.7818433,-73.9792822
1120,"Staten Island","Howard Avenue & Martha Street","Terrace Playground","Yes","2018-07-03 15:41:02.348306","2018-07-03 15:41:02.348306",40.6134581,-74.0979464
1122,"Manhattan","1 Avenue to FDR Drive, East 111 to East 114 streets","Thomas Jefferson Park","Yes","2018-07-03 15:41:03.162794","2018-07-03 15:41:03.162794",40.7918764,-73.93560579999999
1127,"Manhattan","Avenues A to B, East 7 to East 10 streets","Tompkins Square Park","Yes","2018-07-03 15:41:04.1882","2018-07-03 15:41:04.1882",40.7221103,-73.9831407
1133,"Queens","Union Street & 31 Road","Union Playground (PS 214)","Yes","2018-07-03 15:41:05.211918","2018-07-03 15:41:05.211918",40.770632,-73.82656879999999
1138,"Bronx","West 242nd Street & Broadway","Van Cortlandt Park (Pool Building)","Yes","2018-07-03 15:41:05.41524","2018-07-03 16:18:16.74175",40.8894768,-73.8981991
1085,"Brooklyn","92nd Street to 4 Avenue - upper half, by road","Shore Road Park","No","2018-07-03 15:40:42.669048","2018-07-03 16:20:07.539871",40.617883,-74.02979410000002
1123,"Bronx","Tiffany Street, Fox Street, East 167 Street","Tiffany Playground","Yes","2018-07-03 15:41:03.206142","2018-07-03 16:20:08.769419",40.82649869999999,-73.89386739999999
1125,"Brooklyn","Tilden Avenue, East 48 to East 49 streets","Tilden Playground","Yes","2018-07-03 15:41:03.289555","2018-07-03 16:20:09.997883",40.6480575,-73.93194559999999
1134,"Manhattan","Broadway to 4 Avenue, East 14 Street to East 17 streets","Union Square Park","Yes","2018-07-03 15:41:05.250003","2018-07-03 16:20:11.021423",40.7385558,-73.98977959999999
